路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.575,0.399,0.257
路径1,53,0.518,0.421,0.204
路径1,79,0.481,0.224,0.21
路径1,106,0.5,0.225,0.196
路径1,132,0.323,0.369,0.195
路径1,158,0.342,0.215,0.12
路径1,184,0.26,0.069,0.059
路径1,211,0.328,0.068,0.019
路径1,237,0.374,0.028,0.011
路径1,263,0.295,0.071,0
路径1,289,0.244,0.037,0
路径1,316,0.286,0,0
路径1,342,0.183,0,0
路径1,368,0.186,0,0
路径1,394,0.161,0,0
路径1,421,0.248,0,0
路径1,447,0.205,0,0
路径1,473,0.177,0,0
路径1,500,0.146,0,0
路径2,1,0.5,0.5,0.5
路径2,27,0.47,0.357,0.532
路径2,53,0.541,0.332,0.469
路径2,79,0.613,0.284,0.467
路径2,106,0.637,0.179,0.458
路径2,132,0.735,0.236,0.447
路径2,158,0.779,0.226,0.325
路径2,184,0.804,0.106,0.29
路径2,211,0.774,0.023,0.194
路径2,237,0.749,0.016,0.203
路径2,263,0.912,0,0.249
路径2,289,0.939,0,0.26
路径2,316,0.958,0,0.179
路径2,342,0.952,0,0.327
路径2,368,0.967,0,0.358
路径2,394,0.986,0,0.231
路径2,421,1,0,0.347
路径2,447,1,0,0.287
路径2,473,1,0,0.25
路径2,500,1,0,0.204
路径3,1,0.5,0.5,0.5
路径3,27,0.427,0.44,0.472
路径3,53,0.314,0.458,0.334
路径3,79,0.27,0.455,0.163
路径3,106,0.253,0.31,0.138
路径3,132,0.273,0.212,0.089
路径3,158,0.191,0.137,0.056
路径3,184,0.168,0.137,0.15
路径3,211,0.111,0.093,0.092
路径3,237,0.1,0.073,0.142
路径3,263,0.081,0.109,0.098
路径3,289,0.105,0.066,0.066
路径3,316,0.091,0.039,0.057
路径3,342,0.158,0.004,0.04
路径3,368,0.13,0,0.005
路径3,394,0.089,0,0
路径3,421,0.06,0,0
路径3,447,0.05,0,0
路径3,473,0.013,0,0
路径3,500,0.001,0,0
路径4,1,0.5,0.5,0.5
路径4,27,0.39,0.383,0.535
路径4,53,0.213,0.259,0.377
路径4,79,0.15,0.291,0.337
路径4,106,0.083,0.276,0.291
路径4,132,0.034,0.171,0.25
路径4,158,0.049,0.136,0.247
路径4,184,0.066,0.113,0.22
路径4,211,0.148,0.064,0.179
路径4,237,0.16,0.024,0.044
路径4,263,0.26,0,0.015
路径4,289,0.2,0,0
路径4,316,0.219,0,0
路径4,342,0.209,0,0
路径4,368,0.125,0,0
路径4,394,0.055,0,0
路径4,421,0.048,0,0
路径4,447,0.022,0,0
路径4,473,0.041,0,0
路径4,500,0.039,0,0
路径5,1,0.5,0.5,0.5
路径5,27,0.513,0.442,0.417
路径5,53,0.354,0.412,0.27
路径5,79,0.301,0.325,0.286
路径5,106,0.304,0.245,0.181
路径5,132,0.212,0.329,0.219
路径5,158,0.278,0.375,0.074
路径5,184,0.303,0.29,0.072
路径5,211,0.191,0.193,0.057
路径5,237,0.127,0.047,0.036
路径5,263,0.054,0.049,0.033
路径5,289,0.088,0.011,0.017
路径5,316,0.034,0,0.037
路径5,342,0.002,0,0.029
路径5,368,0,0,0
路径5,394,0,0,0
路径5,421,0,0,0
路径5,447,0,0,0
路径5,473,0,0,0
路径5,500,0,0,0
路径6,1,0.5,0.5,0.5
路径6,27,0.485,0.518,0.455
路径6,53,0.418,0.392,0.338
路径6,79,0.324,0.33,0.169
路径6,106,0.35,0.205,0.02
路径6,132,0.184,0.264,0
路径6,158,0.118,0.157,0
路径6,184,0.107,0.118,0
路径6,211,0.074,0.061,0
路径6,237,0.013,0.006,0
路径6,263,0,0,0
路径6,289,0,0,0
路径6,316,0,0,0
路径6,342,0,0,0
路径6,368,0,0,0
路径6,394,0,0,0
路径6,421,0,0,0
路径6,447,0,0,0
路径6,473,0,0,0
路径6,500,0,0,0
路径7,1,0.5,0.5,0.5
路径7,27,0.455,0.486,0.515
路径7,53,0.463,0.343,0.455
路径7,79,0.417,0.473,0.409
路径7,106,0.312,0.547,0.432
路径7,132,0.176,0.47,0.442
路径7,158,0.15,0.4,0.42
路径7,184,0.095,0.355,0.314
路径7,211,0.078,0.295,0.187
路径7,237,0.068,0.256,0.089
路径7,263,0.081,0.218,0.118
路径7,289,0.138,0.098,0.097
路径7,316,0.138,0.069,0.058
路径7,342,0.092,0.088,0.053
路径7,368,0.104,0.11,0.046
路径7,394,0.025,0.079,0.06
路径7,421,0.055,0.088,0.039
路径7,447,0.069,0.052,0.068
路径7,473,0.055,0.002,0.049
路径7,500,0.048,0,0.026
路径8,1,0.5,0.5,0.5
路径8,27,0.538,0.411,0.493
路径8,53,0.466,0.407,0.421
路径8,79,0.371,0.381,0.287
路径8,106,0.296,0.23,0.21
路径8,132,0.324,0.201,0.153
路径8,158,0.318,0.175,0.153
路径8,184,0.215,0.052,0.179
路径8,211,0.354,0.054,0.057
