路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.422,0.302,0.393
路径1,53,0.329,0.339,0.225
路径1,79,0.337,0.346,0.167
路径1,106,0.297,0.393,0.126
路径1,132,0.262,0.337,0.066
路径1,158,0.18,0.254,0.003
路径1,184,0.086,0.264,0.004
路径1,211,0.133,0.254,0
路径1,237,0.223,0.281,0
路径1,263,0.2,0.186,0
路径1,289,0.137,0.211,0
路径1,316,0.076,0.166,0
路径1,342,0.111,0.165,0
路径1,368,0.095,0.171,0
路径1,394,0.051,0.2,0
路径1,421,0.023,0.165,0
路径1,447,0.003,0.167,0
路径1,473,0,0.067,0
路径1,500,0,0.056,0
路径2,1,0.5,0.5,0.5
路径2,27,0.452,0.447,0.473
路径2,53,0.379,0.409,0.325
路径2,79,0.307,0.42,0.169
路径2,106,0.244,0.299,0.188
路径2,132,0.195,0.317,0.087
路径2,158,0.178,0.311,0.075
路径2,184,0.15,0.307,0.053
路径2,211,0.099,0.384,0.039
路径2,237,0.071,0.407,0.007
路径2,263,0.099,0.292,0
路径2,289,0.066,0.331,0
路径2,316,0.038,0.289,0
路径2,342,0.007,0.198,0
路径2,368,0,0.138,0
路径2,394,0,0.15,0
路径2,421,0,0.127,0
路径2,447,0,0.072,0
路径2,473,0,0.07,0
路径2,500,0,0.034,0
路径3,1,0.5,0.5,0.5
路径3,27,0.46,0.383,0.405
路径3,53,0.406,0.287,0.331
路径3,79,0.545,0.37,0.246
路径3,106,0.357,0.279,0.129
路径3,132,0.34,0.267,0.075
路径3,158,0.326,0.249,0.069
路径3,184,0.348,0.252,0.018
路径3,211,0.522,0.36,0.021
路径3,237,0.413,0.462,0.033
路径3,263,0.179,0.419,0.028
路径3,289,0.126,0.324,0.002
路径3,316,0.092,0.27,0
路径3,342,0.049,0.477,0
路径3,368,0,0.475,0
路径3,394,0,0.513,0
路径3,421,0,0.535,0
路径3,447,0,0.378,0
路径3,473,0,0.361,0
路径3,500,0,0.392,0
路径4,1,0.5,0.5,0.5
路径4,27,0.333,0.476,0.262
路径4,53,0.37,0.594,0.338
路径4,79,0.323,0.61,0.26
路径4,106,0.338,0.665,0.215
路径4,132,0.298,0.564,0.179
路径4,158,0.205,0.614,0.164
路径4,184,0.189,0.491,0.075
路径4,211,0.178,0.438,0.025
路径4,237,0.141,0.428,0
路径4,263,0.102,0.561,0
路径4,289,0.073,0.496,0
路径4,316,0.036,0.37,0
路径4,342,0.013,0.385,0
路径4,368,0.009,0.426,0
路径4,394,0,0.458,0
路径4,421,0,0.592,0
路径4,447,0,0.652,0
路径4,473,0,0.502,0
路径4,500,0,0.515,0
路径5,1,0.5,0.5,0.5
路径5,27,0.386,0.454,0.363
路径5,53,0.382,0.431,0.19
路径5,79,0.26,0.403,0.206
路径5,106,0.281,0.47,0.093
路径5,132,0.241,0.502,0.091
路径5,158,0.167,0.426,0.065
路径5,184,0.144,0.358,0.118
路径5,211,0.089,0.355,0.149
路径5,237,0.151,0.522,0.113
路径5,263,0.163,0.491,0.067
路径5,289,0.153,0.379,0.024
路径5,316,0.157,0.299,0.009
路径5,342,0.169,0.363,0
路径5,368,0.164,0.36,0
路径5,394,0.183,0.257,0
路径5,421,0.195,0.21,0
路径5,447,0.211,0.189,0
路径5,473,0.18,0.181,0
路径5,500,0.172,0.21,0
路径6,1,0.5,0.5,0.5
路径6,27,0.593,0.491,0.248
路径6,53,0.484,0.651,0.216
路径6,79,0.45,0.617,0.245
路径6,106,0.339,0.472,0.14
路径6,132,0.261,0.389,0.131
路径6,158,0.289,0.392,0.055
路径6,184,0.24,0.4,0.08
路径6,211,0.323,0.478,0.066
路径6,237,0.272,0.401,0.02
路径6,263,0.274,0.409,0
路径6,289,0.248,0.313,0
路径6,316,0.18,0.247,0
路径6,342,0.326,0.26,0
路径6,368,0.325,0.249,0
路径6,394,0.372,0.219,0
路径6,421,0.351,0.309,0
路径6,447,0.326,0.295,0
路径6,473,0.206,0.236,0
路径6,500,0.225,0.293,0
路径7,1,0.5,0.5,0.5
路径7,27,0.368,0.571,0.377
路径7,53,0.368,0.584,0.237
路径7,79,0.31,0.524,0.235
路径7,106,0.16,0.58,0.114
路径7,132,0.131,0.748,0.056
路径7,158,0.123,0.748,0.036
路径7,184,0.063,0.755,0.046
路径7,211,0.01,0.792,0.064
路径7,237,0,0.76,0.066
路径7,263,0,0.735,0.036
路径7,289,0,0.668,0.034
路径7,316,0,0.678,0
路径7,342,0,0.651,0
路径7,368,0,0.704,0
路径7,394,0,0.618,0
路径7,421,0,0.43,0
路径7,447,0,0.481,0
路径7,473,0,0.526,0
路径7,500,0,0.412,0
路径8,1,0.5,0.5,0.5
路径8,27,0.473,0.552,0.314
路径8,53,0.491,0.45,0.239
路径8,79,0.326,0.323,0.075
路径8,106,0.379,0.373,0.03
路径8,132,0.29,0.395,0.007
路径8,158,0.239,0.315,0.007
路径8,184,0.204,0.288,0
路径8,211,0.274,0.244,0
路径8,237,0.346,0.279,0
路径8,263,0.26,0.215,0
路径8,289,0.145,0.231,0
路径8,316,0.103,0.134,0
路径8,342,0.079,0.071,0
路径8,368,0.171,0.021,0
路径8,394,0.199,0.012,0
