路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.685,0.378,0.453
路径1,53,0.639,0.376,0.428
路径1,79,0.622,0.398,0.265
路径1,106,0.593,0.365,0.307
路径1,132,0.594,0.43,0.274
路径1,158,0.611,0.346,0.318
路径1,184,0.616,0.261,0.402
路径1,211,0.645,0.252,0.281
路径1,237,0.567,0.197,0.178
路径1,263,0.624,0.132,0.11
路径1,289,0.567,0.232,0.06
路径1,316,0.536,0.133,0.097
路径1,342,0.506,0.112,0.079
路径1,368,0.562,0.048,0.069
路径1,394,0.537,0.073,0.113
路径1,421,0.516,0.031,0.166
路径1,447,0.489,0.006,0.144
路径1,473,0.319,0,0.08
路径1,500,0.321,0,0.045
路径2,1,0.5,0.5,0.5
路径2,27,0.42,0.444,0.447
路径2,53,0.363,0.426,0.45
路径2,79,0.29,0.422,0.453
路径2,106,0.272,0.339,0.307
路径2,132,0.255,0.294,0.251
路径2,158,0.36,0.308,0.24
路径2,184,0.466,0.338,0.189
路径2,211,0.433,0.306,0.177
路径2,237,0.307,0.143,0.117
路径2,263,0.352,0.133,0.099
路径2,289,0.321,0.071,0.04
路径2,316,0.399,0.042,0.084
路径2,342,0.44,0.014,0.021
路径2,368,0.486,0,0.01
路径2,394,0.274,0,0
路径2,421,0.239,0,0
路径2,447,0.339,0,0
路径2,473,0.336,0,0
路径2,500,0.265,0,0
路径3,1,0.5,0.5,0.5
路径3,27,0.311,0.578,0.494
路径3,53,0.276,0.474,0.547
路径3,79,0.28,0.563,0.485
路径3,106,0.312,0.42,0.5
路径3,132,0.228,0.298,0.457
路径3,158,0.276,0.22,0.434
路径3,184,0.418,0.29,0.447
路径3,211,0.341,0.179,0.396
路径3,237,0.333,0.171,0.345
路径3,263,0.287,0.106,0.27
路径3,289,0.385,0.12,0.181
路径3,316,0.453,0.091,0.13
路径3,342,0.438,0.094,0.14
路径3,368,0.28,0.119,0.085
路径3,394,0.266,0.114,0.178
路径3,421,0.181,0.096,0.247
路径3,447,0.255,0.046,0.208
路径3,473,0.283,0.005,0.354
路径3,500,0.295,0.022,0.22
路径4,1,0.5,0.5,0.5
路径4,27,0.42,0.292,0.457
路径4,53,0.514,0.223,0.506
路径4,79,0.475,0.042,0.462
路径4,106,0.451,0.002,0.432
路径4,132,0.186,0,0.304
路径4,158,0.153,0,0.243
路径4,184,0.171,0,0.183
路径4,211,0.147,0,0.129
路径4,237,0.154,0,0.051
路径4,263,0.101,0,0.008
路径4,289,0.08,0,0
路径4,316,0.104,0,0
路径4,342,0.054,0,0
路径4,368,0.033,0,0
路径4,394,0.001,0,0
路径4,421,0,0,0
路径4,447,0,0,0
路径4,473,0,0,0
路径4,500,0,0,0
路径5,1,0.5,0.5,0.5
路径5,27,0.581,0.385,0.427
路径5,53,0.599,0.33,0.229
路径5,79,0.617,0.112,0.134
路径5,106,0.594,0.049,0.176
路径5,132,0.621,0.017,0.109
路径5,158,0.586,0.001,0.047
路径5,184,0.598,0,0.07
路径5,211,0.477,0,0.013
路径5,237,0.444,0,0
路径5,263,0.431,0,0
路径5,289,0.438,0,0
路径5,316,0.354,0,0
路径5,342,0.236,0,0
路径5,368,0.237,0,0
路径5,394,0.296,0,0
路径5,421,0.366,0,0
路径5,447,0.4,0,0
路径5,473,0.53,0,0
路径5,500,0.43,0,0
路径6,1,0.5,0.5,0.5
路径6,27,0.429,0.422,0.467
路径6,53,0.354,0.299,0.361
路径6,79,0.432,0.268,0.305
路径6,106,0.373,0.223,0.31
路径6,132,0.275,0.115,0.357
路径6,158,0.375,0.102,0.237
路径6,184,0.418,0.126,0.311
路径6,211,0.506,0.084,0.323
路径6,237,0.43,0.03,0.22
路径6,263,0.448,0.006,0.25
路径6,289,0.442,0,0.155
路径6,316,0.436,0,0.177
路径6,342,0.62,0,0.128
路径6,368,0.632,0,0.121
路径6,394,0.628,0,0.04
路径6,421,0.668,0,0.008
路径6,447,0.727,0,0
路径6,473,0.794,0,0
路径6,500,0.784,0,0
路径7,1,0.5,0.5,0.5
路径7,27,0.461,0.519,0.547
路径7,53,0.435,0.441,0.35
路径7,79,0.322,0.419,0.322
路径7,106,0.305,0.319,0.133
路径7,132,0.131,0.302,0.14
路径7,158,0.163,0.163,0.034
路径7,184,0.223,0.146,0.002
路径7,211,0.318,0.154,0
路径7,237,0.353,0.221,0
路径7,263,0.546,0.109,0
路径7,289,0.573,0.038,0
路径7,316,0.51,0.093,0
路径7,342,0.512,0.053,0
路径7,368,0.585,0.07,0
路径7,394,0.596,0.059,0
路径7,421,0.471,0.031,0
路径7,447,0.528,0.018,0
路径7,473,0.633,0.014,0
路径7,500,0.591,0,0
路径8,1,0.5,0.5,0.5
路径8,27,0.52,0.42,0.329
路径8,53,0.531,0.315,0.33
路径8,79,0.592,0.249,0.253
路径8,106,0.618,0.125,0.297
路径8,132,0.498,0.063,0.235
路径8,158,0.45,0.056,0.141
路径8,184,0.479,0.029,0.096
路径8,211,0.588,0.032,0.147
路径8,237,0.319,0.011,0.192
路径8,263,0.26,0.027,0.169
路径8,289,0.348,0.037,0.27
路径8,316,0.496,0.045,0.217
路径8,342,0.605,0.025,0.107
路径8,368,0.502,0,0.082
路径8,394,0.662,0,0.07
路径8,421,0.698,0,0.059
路径8,447,0.647,0,0.058
路径8,473,0.651,0,0.072
路径8,500,0.686,0,0.061
路径9,1,0.5,0.5,0.5
路径9,27,0.373,0.51,0.378
路径9,53,0.25,0.481,0.381
路径9,79,0.274,0.326,0.389
路径9,106,0.324,0.185,0.446
路径9,132,0.381,0.144,0.395
路径9,158,0.581,0.153,0.328
路径9,184,0.468,0.12,0.293
路径9,211,0.353,0.121,0.296
路径9,237,0.254,0.105,0.373
路径9,263,0.151,0.066,0.373
路径9,289,0.098,0.018,0.412
路径9,316,0.024,0,0.461
路径9,342,0.005,0,0.474
路径9,368,0,0,0.459
路径9,394,0,0,0.382
路径9,421,0,0,0.321
路径9,447,0,0,0.093
路径9,473,0,0,0.097
路径9,500,0,0,0.145
路径10,1,0.5,0.5,0.5
路径10,27,0.517,0.547,0.503
路径10,53,0.583,0.498,0.433
路径10,79,0.601,0.415,0.217
路径10,106,0.533,0.355,0.275
路径10,132,0.46,0.358,0.248
路径10,158,0.548,0.288,0.09
路径10,184,0.505,0.294,0.079
路径10,211,0.506,0.205,0.081
路径10,237,0.514,0.085,0.022
路径10,263,0.364,0.048,0.007
路径10,289,0.518,0.055,0.003
路径10,316,0.485,0.027,0
路径10,342,0.387,0.031,0
路径10,368,0.415,0.04,0
路径10,394,0.473,0.007,0
路径10,421,0.522,0.048,0
路径10,447,0.415,0.048,0
路径10,473,0.6,0.007,0
路径10,500,0.622,0,0
路径11,1,0.5,0.5,0.5
路径11,27,0.402,0.504,0.47
路径11,53,0.392,0.38,0.489
路径11,79,0.497,0.424,0.407
路径11,106,0.496,0.427,0.271
路径11,132,0.536,0.464,0.127
路径11,158,0.368,0.399,0.047
路径11,184,0.196,0.278,0.016
路径11,211,0.149,0.173,0
路径11,237,0.118,0.082,0
路径11,263,0.066,0.075,0
路径11,289,0.183,0.095,0
路径11,316,0.19,0.066,0
路径11,342,0.176,0.069,0
路径11,368,0.157,0.076,0
路径11,394,0.176,0.032,0
路径11,421,0.197,0.096,0
路径11,447,0.269,0.038,0
路径11,473,0.252,0.042,0
路径11,500,0.361,0.009,0
路径12,1,0.5,0.5,0.5
路径12,27,0.399,0.386,0.54
路径12,53,0.401,0.389,0.493
路径12,79,0.267,0.439,0.377
路径12,106,0.183,0.321,0.315
路径12,132,0.184,0.265,0.318
路径12,158,0.125,0.266,0.25
路径12,184,0.026,0.253,0.12
路径12,211,0.029,0.174,0.126
路径12,237,0,0.078,0.113
路径12,263,0,0.019,0.048
路径12,289,0,0.002,0.072
路径12,316,0,0,0.044
路径12,342,0,0,0.014
路径12,368,0,0,0.028
路径12,394,0,0,0.033
路径12,421,0,0,0.007
路径12,447,0,0,0
路径12,473,0,0,0
路径12,500,0,0,0
路径13,1,0.5,0.5,0.5
路径13,27,0.592,0.504,0.456
路径13,53,0.515,0.391,0.403
路径13,79,0.649,0.292,0.262
