路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.708,0.511,0.403
路径1,53,0.808,0.627,0.269
路径1,79,0.988,0.728,0.349
路径1,106,1,0.861,0.384
路径1,132,1,1,0.515
路径1,158,1,1,0.51
路径1,184,1,1,0.574
路径1,211,1,1,0.496
路径1,237,1,1,0.486
路径1,263,1,1,0.591
路径1,289,1,1,0.701
路径1,316,1,1,0.705
路径1,342,1,1,0.769
路径1,368,1,1,0.713
路径1,394,1,1,0.805
路径1,421,1,1,0.704
路径1,447,1,1,0.677
路径1,473,1,1,0.707
路径1,500,1,1,0.66
路径2,1,0.5,0.5,0.5
路径2,27,0.439,0.596,0.467
路径2,53,0.507,0.643,0.398
路径2,79,0.584,0.709,0.309
路径2,106,0.662,0.814,0.125
路径2,132,0.689,0.981,0.153
路径2,158,0.728,1,0.057
路径2,184,0.784,1,0.031
路径2,211,0.918,1,0.016
路径2,237,1,1,0.023
路径2,263,1,1,0.006
路径2,289,1,1,0
路径2,316,1,1,0
路径2,342,1,1,0
路径2,368,1,1,0
路径2,394,1,1,0
路径2,421,1,1,0
路径2,447,1,1,0
路径2,473,1,1,0
路径2,500,1,1,0
路径3,1,0.5,0.5,0.5
路径3,27,0.406,0.538,0.547
路径3,53,0.393,0.644,0.374
路径3,79,0.252,0.719,0.361
路径3,106,0.371,0.74,0.405
路径3,132,0.498,0.895,0.256
路径3,158,0.566,1,0.253
路径3,184,0.714,1,0.241
路径3,211,0.838,1,0.165
路径3,237,1,1,0.156
路径3,263,1,1,0.189
路径3,289,1,1,0.25
路径3,316,1,1,0.285
路径3,342,1,1,0.29
路径3,368,1,1,0.233
路径3,394,1,1,0.387
路径3,421,1,1,0.42
路径3,447,1,1,0.402
路径3,473,1,1,0.335
路径3,500,1,1,0.529
路径4,1,0.5,0.5,0.5
路径4,27,0.466,0.572,0.435
路径4,53,0.4,0.679,0.307
路径4,79,0.398,0.778,0.187
路径4,106,0.457,0.9,0.139
路径4,132,0.55,0.982,0.013
路径4,158,0.61,1,0
路径4,184,0.712,1,0
路径4,211,0.817,1,0
路径4,237,0.894,1,0
路径4,263,1,1,0
路径4,289,1,1,0
路径4,316,1,1,0
路径4,342,1,1,0
路径4,368,1,1,0
路径4,394,1,1,0
路径4,421,1,1,0
路径4,447,1,1,0
路径4,473,1,1,0
路径4,500,1,1,0
路径5,1,0.5,0.5,0.5
路径5,27,0.446,0.569,0.416
路径5,53,0.515,0.708,0.308
路径5,79,0.786,0.753,0.338
路径5,106,0.904,0.839,0.472
路径5,132,1,0.922,0.289
路径5,158,1,1,0.2
路径5,184,1,1,0.105
路径5,211,1,1,0.167
路径5,237,1,1,0.224
路径5,263,1,1,0.247
路径5,289,1,1,0.202
路径5,316,1,1,0.09
路径5,342,1,1,0.072
路径5,368,1,1,0.035
路径5,394,1,1,0.009
路径5,421,1,1,0
路径5,447,1,1,0
路径5,473,1,1,0
路径5,500,1,1,0
路径6,1,0.5,0.5,0.5
路径6,27,0.611,0.59,0.337
路径6,53,0.779,0.542,0.315
路径6,79,0.891,0.573,0.251
路径6,106,1,0.726,0.307
路径6,132,1,0.872,0.279
路径6,158,1,1,0.476
路径6,184,1,1,0.322
路径6,211,1,1,0.355
路径6,237,1,1,0.382
路径6,263,1,1,0.373
路径6,289,1,1,0.347
路径6,316,1,1,0.247
路径6,342,1,1,0.306
路径6,368,1,1,0.272
路径6,394,1,1,0.211
路径6,421,1,1,0.21
路径6,447,1,1,0.294
路径6,473,1,1,0.245
路径6,500,1,1,0.229
路径7,1,0.5,0.5,0.5
路径7,27,0.618,0.721,0.484
路径7,53,0.681,0.734,0.45
路径7,79,0.746,0.818,0.389
路径7,106,0.88,0.986,0.292
路径7,132,1,1,0.299
路径7,158,1,1,0.199
路径7,184,1,1,0.122
路径7,211,1,1,0.114
路径7,237,1,1,0.08
路径7,263,1,1,0.184
路径7,289,1,1,0.15
路径7,316,1,1,0.197
路径7,342,1,1,0.268
路径7,368,1,1,0.272
路径7,394,1,1,0.223
路径7,421,1,1,0.116
路径7,447,1,1,0.09
路径7,473,1,1,0.044
路径7,500,1,1,0.004
路径8,1,0.5,0.5,0.5
路径8,27,0.558,0.627,0.347
路径8,53,0.751,0.664,0.253
路径8,79,0.854,0.745,0.272
路径8,106,0.88,0.892,0.204
路径8,132,1,0.971,0.186
路径8,158,1,1,0.199
路径8,184,1,1,0.138
路径8,211,1,1,0.132
路径8,237,1,1,0.08
路径8,263,1,1,0.056
路径8,289,1,1,0.079
路径8,316,1,1,0.091
路径8,342,1,1,0.218
路径8,368,1,1,0.231
路径8,394,1,1,0.138
路径8,421,1,1,0.24
路径8,447,1,1,0.32
路径8,473,1,1,0.321
路径8,500,1,1,0.284
路径9,1,0.5,0.5,0.5
路径9,27,0.516,0.469,0.306
路径9,53,0.372,0.608,0.203
路径9,79,0.583,0.646,0.174
路径9,106,0.641,0.772,0.148
路径9,132,0.573,0.784,0.074
路径9,158,0.676,0.766,0.05
路径9,184,0.682,0.819,0.012
路径9,211,0.703,0.795,0.01
路径9,237,0.738,0.825,0
路径9,263,0.942,0.83,0
路径9,289,1,0.87,0
路径9,316,1,0.944,0
路径9,342,1,1,0
路径9,368,1,1,0
路径9,394,1,1,0
路径9,421,1,1,0
路径9,447,1,1,0
路径9,473,1,1,0
路径9,500,1,1,0
路径10,1,0.5,0.5,0.5
路径10,27,0.537,0.63,0.463
路径10,53,0.6,0.74,0.339
路径10,79,0.82,0.964,0.405
路径10,106,1,1,0.339
路径10,132,1,1,0.367
路径10,158,1,1,0.59
路径10,184,1,1,0.557
路径10,211,1,1,0.566
路径10,237,1,1,0.435
路径10,263,1,1,0.576
路径10,289,1,1,0.511
路径10,316,1,1,0.464
路径10,342,1,1,0.493
路径10,368,1,1,0.517
路径10,394,1,1,0.601
路径10,421,1,1,0.626
路径10,447,1,1,0.645
路径10,473,1,1,0.701
路径10,500,1,1,0.678
路径11,1,0.5,0.5,0.5
路径11,27,0.619,0.825,0.532
路径11,53,0.795,0.924,0.516
路径11,79,1,1,0.479
路径11,106,1,1,0.41
路径11,132,1,1,0.463
路径11,158,1,1,0.557
路径11,184,1,1,0.451
路径11,211,1,1,0.457
路径11,237,1,1,0.47
路径11,263,1,1,0.477
路径11,289,1,1,0.51
路径11,316,1,1,0.42
路径11,342,1,1,0.478
路径11,368,1,1,0.448
路径11,394,1,1,0.435
路径11,421,1,1,0.375
路径11,447,1,1,0.434
路径11,473,1,1,0.301
路径11,500,1,1,0.507
路径12,1,0.5,0.5,0.5
路径12,27,0.583,0.519,0.451
路径12,53,0.675,0.821,0.328
路径12,79,0.8,0.952,0.215
路径12,106,0.94,1,0.137
路径12,132,1,1,0.08
路径12,158,1,1,0.133
路径12,184,1,1,0.173
路径12,211,1,1,0.189
路径12,237,1,1,0.175
路径12,263,1,1,0.232
路径12,289,1,1,0.228
路径12,316,1,1,0.113
路径12,342,1,1,0.049
路径12,368,1,1,0.04
路径12,394,1,1,0.06
路径12,421,1,1,0.105
路径12,447,1,1,0.049
路径12,473,1,1,0.037
路径12,500,1,1,0.075
路径13,1,0.5,0.5,0.5
路径13,27,0.685,0.562,0.282
路径13,53,0.71,0.579,0.231
路径13,79,0.822,0.822,0.209
路径13,106,1,0.98,0.159
路径13,132,1,1,0.2
路径13,158,1,1,0.26
路径13,184,1,1,0.201
路径13,211,1,1,0.226
路径13,237,1,1,0.185
路径13,263,1,1,0.122
路径13,289,1,1,0.154
路径13,316,1,1,0.189
路径13,342,1,1,0.157
路径13,368,1,1,0.251
路径13,394,1,1,0.335
路径13,421,1,1,0.246
路径13,447,1,1,0.192
路径13,473,1,1,0.219
路径13,500,1,1,0.098
路径14,1,0.5,0.5,0.5
路径14,27,0.57,0.63,0.324
路径14,53,0.574,0.63,0.257
路径14,79,0.653,0.622,0.259
路径14,106,0.727,0.657,0.326
路径14,132,0.708,0.82,0.243
路径14,158,0.945,1,0.241
路径14,184,1,1,0.227
路径14,211,1,1,0.142
路径14,237,1,1,0.159
路径14,263,1,1,0.171
路径14,289,1,1,0.239
路径14,316,1,1,0.193
路径14,342,1,1,0.224
路径14,368,1,1,0.219
路径14,394,1,1,0.105
路径14,421,1,1,0.137
路径14,447,1,1,0.129
路径14,473,1,1,0.217
路径14,500,1,1,0.114
路径15,1,0.5,0.5,0.5
路径15,27,0.473,0.587,0.386
路径15,53,0.602,0.686,0.369
路径15,79,0.725,0.761,0.25
路径15,106,0.852,0.818,0.213
路径15,132,1,0.802,0.261
路径15,158,1,0.968,0.263
路径15,184,1,1,0.229
路径15,211,1,1,0.132
路径15,237,1,1,0.207
路径15,263,1,1,0.216
路径15,289,1,1,0.278
路径15,316,1,1,0.351
路径15,342,1,1,0.379
路径15,368,1,1,0.341
路径15,394,1,1,0.406
路径15,421,1,1,0.524
路径15,447,1,1,0.634
路径15,473,1,1,0.716
路径15,500,1,1,0.753
路径16,1,0.5,0.5,0.5
路径16,27,0.661,0.487,0.273
路径16,53,0.636,0.637,0.269
路径16,79,0.817,0.723,0.138
路径16,106,0.994,0.895,0.068
路径16,132,1,0.907,0.154
路径16,158,1,1,0.109
路径16,184,1,1,0.041
路径16,211,1,1,0.024
路径16,237,1,1,0.024
路径16,263,1,1,0.007
路径16,289,1,1,0
路径16,316,1,1,0
路径16,342,1,1,0
路径16,368,1,1,0
路径16,394,1,1,0
路径16,421,1,1,0
路径16,447,1,1,0
路径16,473,1,1,0
路径16,500,1,1,0
路径17,1,0.5,0.5,0.5
路径17,27,0.541,0.594,0.365
路径17,53,0.721,0.732,0.213
路径17,79,0.906,0.839,0.291
路径17,106,1,0.895,0.338
路径17,132,1,1,0.465
路径17,158,1,1,0.4
路径17,184,1,1,0.423
路径17,211,1,1,0.598
路径17,237,1,1,0.549
路径17,263,1,1,0.386
路径17,289,1,1,0.291
路径17,316,1,1,0.354
路径17,342,1,1,0.28
路径17,368,1,1,0.203
路径17,394,1,1,0.249
路径17,421,1,1,0.42
路径17,447,1,1,0.386
路径17,473,1,1,0.437
路径17,500,1,1,0.375
路径18,1,0.5,0.5,0.5
路径18,27,0.576,0.62,0.356
路径18,53,0.771,0.606,0.27
路径18,79,0.836,0.764,0.188
路径18,106,1,0.873,0.139
路径18,132,1,0.886,0.078
路径18,158,1,0.988,0.086
路径18,184,1,1,0.12
路径18,211,1,1,0.085
路径18,237,1,1,0.163
路径18,263,1,1,0.108
路径18,289,1,1,0.058
路径18,316,1,1,0.038
路径18,342,1,1,0.165
路径18,368,1,1,0.265
路径18,394,1,1,0.235
路径18,421,1,1,0.299
路径18,447,1,1,0.35
路径18,473,1,1,0.311
路径18,500,1,1,0.351
路径19,1,0.5,0.5,0.5
路径19,27,0.507,0.73,0.53
路径19,53,0.631,0.946,0.467
路径19,79,0.842,1,0.392
路径19,106,1,1,0.317
路径19,132,1,1,0.214
路径19,158,1,1,0.333
路径19,184,1,1,0.197
路径19,211,1,1,0.198
路径19,237,1,1,0.18
路径19,263,1,1,0.153
路径19,289,1,1,0.157
路径19,316,1,1,0.231
路径19,342,1,1,0.226
路径19,368,1,1,0.285
路径19,394,1,1,0.304
路径19,421,1,1,0.255
路径19,447,1,1,0.148
路径19,473,1,1,0.101
路径19,500,1,1,0.096
路径20,1,0.5,0.5,0.5
路径20,27,0.563,0.441,0.395
路径20,53,0.711,0.602,0.367
路径20,79,0.824,0.796,0.276
路径20,106,0.903,0.877,0.21
路径20,132,1,0.98,0.238
路径20,158,1,1,0.31
路径20,184,1,1,0.262
路径20,211,1,1,0.386
路径20,237,1,1,0.288
路径20,263,1,1,0.21
路径20,289,1,1,0.267
路径20,316,1,1,0.247
路径20,342,1,1,0.219
路径20,368,1,1,0.142
路径20,394,1,1,0.154
路径20,421,1,1,0.136
路径20,447,1,1,0.108
路径20,473,1,1,0.098
路径20,500,1,1,0.085
