模拟路径,博弈论次,α,β,γ
路径1,1,0.2,0.5,0.5
路径1,27,0.200428333,0.491735822,0.392277412
路径1,53,0.14765675,0.432790657,0.380443017
路径1,79,0.100903369,0.325349964,0.265702234
路径1,106,0.006261126,0.274838655,0.206641096
路径1,132,0,0.266120853,0.081249708
路径1,158,0,0.240128624,0.127192618
路径1,184,0,0.141009974,0.132029431
路径1,211,0,0.072504924,0.08053509
路径1,237,0,0.020105188,0.055676268
路径1,263,0,0,0.020290675
路径1,289,0,0,0.034262989
路径1,316,0,0,0.013285069
路径1,342,0,0,0
路径1,368,0,0,0
路径1,394,0,0,0
路径1,421,0,0,0
路径1,447,0,0,0
路径1,473,0,0,0
路径1,500,0,0,0
路径2,1,0.2,0.5,0.5
路径2,27,0.116023079,0.451483405,0.305504996
路径2,53,0.060669267,0.345783533,0.065131525
路径2,79,0.061586354,0.342084061,0.025421135
路径2,106,0.000871992,0.291412488,0.046628862
路径2,132,0,0.220764293,0.044181632
路径2,158,0,0.164718211,0.053825949
路径2,184,0,0.149547418,0.007044794
路径2,211,0,0.148778625,0.000476568
路径2,237,0,0.100335468,0
路径2,263,0,0.058988027,0
路径2,289,0,0.126396189,0
路径2,316,0,0.096706692,0
路径2,342,0,0.048317443,0
路径2,368,0,0.031757354,0
路径2,394,0,0.004347606,0
路径2,421,0,0.01753038,0
路径2,447,0,0,0
路径2,473,0,0,0
路径2,500,0,0,0
路径3,1,0.2,0.5,0.5
路径3,27,0.203870225,0.565859235,0.46047328
路径3,53,0.141533571,0.536817561,0.299184099
路径3,79,0.168256007,0.410245882,0.359192944
路径3,106,0.124131038,0.387061625,0.314799823
路径3,132,0.077087887,0.312507319,0.216709565
路径3,158,0.04790443,0.284177785,0.19265713
路径3,184,0.040614849,0.185953377,0.099110649
路径3,211,0.032836593,0.181595723,0.056932452
路径3,237,0.084272569,0.113149429,0.023310083
路径3,263,0.095406496,0.103587522,0
路径3,289,0.128421223,0.11411704,0
路径3,316,0.224907438,0.080305217,0
路径3,342,0.13116428,0.083469949,0
路径3,368,0.159681652,0.103554033,0
路径3,394,0.24610504,0.047662151,0
路径3,421,0.188184123,0.107056425,0
路径3,447,0.162936395,0.03157472,0
路径3,473,0.233600025,0.010678949,0
路径3,500,0.180602274,0.007659043,0
路径4,1,0.2,0.5,0.5
路径4,27,0.168587775,0.363693098,0.466902923
路径4,53,0.081462906,0.306312743,0.33552362
路径4,79,0.152919875,0.217488127,0.312968475
路径4,106,0.164596769,0.142527416,0.346743386
路径4,132,0.146592975,0.266718262,0.26837499
路径4,158,0.18459707,0.279403633,0.294305374
路径4,184,0.14350649,0.195272992,0.301353123
路径4,211,0.153846194,0.113969924,0.254975621
路径4,237,0.175007183,0.039346739,0.138361806
路径4,263,0.174256979,0.023907075,0.131943411
路径4,289,0.186611498,0,0.103808237
路径4,316,0.149721643,0,0.131829299
路径4,342,0.131219206,0,0.135782675
路径4,368,0.046574132,0,0.239837194
路径4,394,0.07508952,0,0.194911892
路径4,421,0.196512195,0,0.170388632
路径4,447,0.236222562,0,0.135524246
路径4,473,0.349973727,0,0.237550129
路径4,500,0.5058105,0,0.177869386
路径5,1,0.2,0.5,0.5
路径5,27,0.156276864,0.457994351,0.439760108
路径5,53,0.091527366,0.50440424,0.305180591
路径5,79,0.030788434,0.336144698,0.301591991
路径5,106,0.028897248,0.28028212,0.161975104
路径5,132,0.032306017,0.184572272,0.160485714
路径5,158,0.00169619,0.156226268,0.091272786
路径5,184,0,0.078899199,0.084275437
路径5,211,0,0.064100539,0.023649071
路径5,237,0,0.107291082,0.004245537
路径5,263,0,0.065337395,0
路径5,289,0,0.017803315,0
路径5,316,0,0.091950256,0
路径5,342,0,0.087898791,0
路径5,368,0,0.092063126,0
路径5,394,0,0.048087526,0
路径5,421,0,0.038474524,0
路径5,447,0,0.009956354,0
路径5,473,0,0,0
路径5,500,0,0,0
路径6,1,0.2,0.5,0.5
路径6,27,0.219361065,0.400495524,0.38866838
路径6,53,0.098360147,0.384456928,0.289273095
路径6,79,0.071161921,0.408983955,0.301075518
路径6,106,0.010068365,0.41164745,0.271185152
路径6,132,0,0.344322513,0.385374215
路径6,158,0,0.244149026,0.290090506
路径6,184,0,0.179664959,0.227821778
路径6,211,0,0.092378915,0.306626266
路径6,237,0,0.091706941,0.304353055
路径6,263,0,0.083869051,0.202280397
路径6,289,0,0.092810665,0.319649226
路径6,316,0,0.07300599,0.279423714
路径6,342,0,0.122669845,0.269887433
路径6,368,0,0.111289636,0.247953018
路径6,394,0,0.025218257,0.205524999
路径6,421,0,0.039878587,0.123725928
路径6,447,0,0.019486263,0.124008831
路径6,473,0,0,0.149019275
路径6,500,0,0,0.267110873
路径7,1,0.2,0.5,0.5
路径7,27,0.261114774,0.398900492,0.413830098
路径7,53,0.105383905,0.305503039,0.47026736
