路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.2
路径1,27,0.553711639,0.375735015,0.190494099
路径1,53,0.538101562,0.284709438,0.167303204
路径1,79,0.502466313,0.224236978,0.086061138
路径1,106,0.468846732,0.22177863,0.034715156
路径1,132,0.385549062,0.228680501,0.068621819
路径1,158,0.395066129,0.140493182,0.032193497
路径1,184,0.247408882,0.080089332,0.013152213
路径1,211,0.163611718,0.114182118,0
路径1,237,0.147277374,0.101856508,0
路径1,263,0.077694905,0.050181093,0
路径1,289,0.082247063,0,0
路径1,316,0.031502823,0,0
路径1,342,0.045182631,0,0
路径1,368,0.070035695,0,0
路径1,394,0.07815826,0,0
路径1,421,0.02028622,0,0
路径1,447,0.007939667,0,0
路径1,473,0,0,0
路径1,500,0,0,0
路径2,1,0.5,0.5,0.2
路径2,27,0.557408866,0.364244518,0.173601119
路径2,53,0.420128321,0.343312019,0.134470338
路径2,79,0.386265249,0.286113427,0.081662616
路径2,106,0.419674862,0.181921224,0.005525661
路径2,132,0.328914562,0.056944199,0.010523111
路径2,158,0.376040252,0.023243589,0
路径2,184,0.478842833,0.004457437,0
路径2,211,0.389450729,0,0
路径2,237,0.351359393,0,0
路径2,263,0.313899121,0,0
路径2,289,0.425466139,0,0
路径2,316,0.391345976,0,0
路径2,342,0.347721888,0,0
路径2,368,0.470830994,0,0
路径2,394,0.509546227,0,0
路径2,421,0.524509956,0,0
路径2,447,0.518997891,0,0
路径2,473,0.468419464,0,0
路径2,500,0.567433755,0,0
路径3,1,0.5,0.5,0.2
路径3,27,0.447252006,0.315105298,0.212296942
路径3,53,0.281922997,0.240009687,0.17172192
路径3,79,0.237478031,0.220860874,0.209283326
路径3,106,0.078192393,0.306691721,0.170213767
路径3,132,0.04692574,0.365524006,0.134216136
路径3,158,0.020881464,0.349539508,0.133476228
路径3,184,0.040006624,0.284201368,0.16241798
路径3,211,0.059824481,0.345430053,0.180923254
路径3,237,0.052680404,0.277343225,0.092404158
路径3,263,0.04821259,0.39667864,0
路径3,289,0.075060255,0.331951472,0
路径3,316,0.131580956,0.283950768,0
路径3,342,0.120827506,0.162480843,0
路径3,368,0.091374335,0.105082769,0
路径3,394,0.148053203,0.05629619,0
路径3,421,0.080559036,0.021924678,0
路径3,447,0.136678467,0.002697247,0
路径3,473,0.057547221,0,0
路径3,500,0.038503797,0,0
路径4,1,0.5,0.5,0.2
路径4,27,0.490237567,0.427756088,0.169239011
路径4,53,0.538172699,0.531500796,0.134197896
路径4,79,0.483793902,0.436229838,0.117472831
路径4,106,0.391454227,0.3168844,0.219287564
路径4,132,0.319570086,0.286666834,0.216011254
路径4,158,0.202022287,0.315264673,0.160013755
路径4,184,0.207952759,0.357370007,0.104777927
路径4,211,0.19064047,0.27810895,0.040845795
路径4,237,0.121857471,0.171813059,0.03068298
路径4,263,0.07640284,0.148860201,0.000507605
