路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.291,0.506,0.47
路径1,53,0.349,0.521,0.359
路径1,79,0.327,0.41,0.338
路径1,106,0.179,0.324,0.373
路径1,132,0.18,0.307,0.266
路径1,158,0.142,0.253,0.158
路径1,184,0.154,0.249,0.14
路径1,211,0.223,0.187,0.122
路径1,237,0.231,0.148,0.079
路径1,263,0.2,0.088,0.045
路径1,289,0.252,0.066,0.026
路径1,316,0.184,0.082,0.006
路径1,342,0.135,0.051,0
路径1,368,0.092,0.012,0
路径1,394,0.027,0,0
路径1,421,0.025,0,0
路径1,447,0,0,0
路径1,473,0,0,0
路径1,500,0,0,0
路径2,1,0.5,0.5,0.5
路径2,27,0.542,0.518,0.49
路径2,53,0.468,0.478,0.41
路径2,79,0.422,0.427,0.339
路径2,106,0.255,0.418,0.243
路径2,132,0.229,0.442,0.137
路径2,158,0.129,0.339,0.028
路径2,184,0.149,0.238,0.079
路径2,211,0.077,0.113,0.13
路径2,237,0.076,0.067,0.137
路径2,263,0.099,0.025,0.135
路径2,289,0.034,0.007,0.1
路径2,316,0.097,0,0.042
路径2,342,0.104,0,0
路径2,368,0.053,0,0
路径2,394,0.074,0,0
路径2,421,0.064,0,0
路径2,447,0.138,0,0
路径2,473,0.175,0,0
路径2,500,0.139,0,0
路径3,1,0.5,0.5,0.5
路径3,27,0.453,0.422,0.458
路径3,53,0.533,0.394,0.404
路径3,79,0.418,0.423,0.388
路径3,106,0.368,0.314,0.439
路径3,132,0.257,0.296,0.423
路径3,158,0.235,0.465,0.368
路径3,184,0.161,0.5,0.286
路径3,211,0.103,0.37,0.3
路径3,237,0.058,0.298,0.243
路径3,263,0.013,0.272,0.092
路径3,289,0.012,0.143,0.042
路径3,316,0.022,0.164,0.142
路径3,342,0,0.202,0.09
路径3,368,0,0.207,0.089
路径3,394,0,0.167,0.167
路径3,421,0,0.116,0.165
路径3,447,0,0.223,0.094
路径3,473,0,0.158,0.059
路径3,500,0,0.111,0
路径4,1,0.5,0.5,0.5
路径4,27,0.428,0.461,0.382
路径4,53,0.237,0.44,0.263
路径4,79,0.237,0.496,0.188
路径4,106,0.094,0.347,0.246
路径4,132,0.142,0.291,0.149
路径4,158,0.119,0.371,0.145
路径4,184,0.084,0.426,0.161
路径4,211,0.051,0.303,0.088
路径4,237,0.045,0.25,0.029
路径4,263,0.015,0.193,0.032
路径4,289,0,0.134,0.057
路径4,316,0,0.073,0
路径4,342,0,0,0
路径4,368,0,0,0
路径4,394,0,0,0
路径4,421,0,0,0
路径4,447,0,0,0
路径4,473,0,0,0
路径4,500,0,0,0
路径5,1,0.5,0.5,0.5
路径5,27,0.502,0.404,0.436
路径5,53,0.415,0.407,0.317
路径5,79,0.486,0.413,0.257
路径5,106,0.468,0.245,0.157
路径5,132,0.424,0.207,0.064
路径5,158,0.39,0.154,0.04
路径5,184,0.53,0.133,0.049
路径5,211,0.561,0.153,0.004
路径5,237,0.397,0.065,0
路径5,263,0.397,0.102,0
路径5,289,0.517,0.037,0
路径5,316,0.584,0.024,0
路径5,342,0.537,0.012,0
路径5,368,0.39,0,0
路径5,394,0.397,0,0
路径5,421,0.416,0,0
路径5,447,0.311,0,0
路径5,473,0.279,0,0
路径5,500,0.284,0,0
路径6,1,0.5,0.5,0.5
路径6,27,0.488,0.505,0.281
路径6,53,0.409,0.365,0.251
路径6,79,0.394,0.269,0.255
路径6,106,0.479,0.139,0.2
路径6,132,0.538,0.082,0.186
路径6,158,0.431,0.079,0.122
路径6,184,0.487,0.047,0.078
路径6,211,0.426,0.036,0.055
路径6,237,0.456,0.04,0.053
路径6,263,0.467,0.057,0.072
路径6,289,0.51,0.048,0.079
路径6,316,0.417,0.006,0.121
路径6,342,0.469,0,0.121
路径6,368,0.479,0,0.134
路径6,394,0.537,0,0.029
路径6,421,0.608,0,0.075
路径6,447,0.548,0,0.002
路径6,473,0.664,0,0
路径6,500,0.823,0,0
路径7,1,0.5,0.5,0.5
路径7,27,0.476,0.511,0.514
路径7,53,0.557,0.334,0.498
路径7,79,0.593,0.312,0.388
路径7,106,0.591,0.396,0.468
路径7,132,0.596,0.436,0.519
路径7,158,0.597,0.388,0.513
路径7,184,0.434,0.31,0.372
路径7,211,0.47,0.318,0.303
