路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.37,0.423,0.389
路径1,53,0.277,0.337,0.267
路径1,79,0.294,0.279,0.256
路径1,106,0.339,0.302,0.266
路径1,132,0.315,0.273,0.329
路径1,158,0.284,0.29,0.236
路径1,184,0.369,0.303,0.253
路径1,211,0.237,0.253,0.28
路径1,237,0.365,0.253,0.281
路径1,263,0.439,0.198,0.361
路径1,289,0.502,0.196,0.302
路径1,316,0.448,0.099,0.224
路径1,342,0.322,0.041,0.151
路径1,368,0.309,0.039,0.107
路径1,394,0.269,0.001,0.081
路径1,421,0.289,0,0.051
路径1,447,0.281,0,0.039
路径1,473,0.341,0,0.062
路径1,500,0.373,0,0.022
路径2,1,0.5,0.5,0.5
路径2,27,0.516,0.489,0.49
路径2,53,0.469,0.308,0.449
路径2,79,0.532,0.287,0.436
路径2,106,0.516,0.193,0.433
路径2,132,0.527,0.169,0.522
路径2,158,0.576,0.127,0.46
路径2,184,0.591,0.158,0.422
路径2,211,0.705,0.132,0.504
路径2,237,0.806,0.125,0.4
路径2,263,0.843,0.135,0.312
路径2,289,0.885,0.145,0.233
路径2,316,0.875,0.173,0.083
路径2,342,0.812,0.161,0.046
路径2,368,0.829,0.127,0.014
路径2,394,0.771,0.089,0.02
路径2,421,0.618,0.057,0.04
路径2,447,0.625,0.078,0.048
路径2,473,0.708,0.019,0.043
路径2,500,0.783,0.003,0.008
路径3,1,0.5,0.5,0.5
路径3,27,0.455,0.453,0.4
路径3,53,0.38,0.269,0.26
路径3,79,0.468,0.22,0.254
路径3,106,0.455,0.137,0.283
路径3,132,0.286,0.14,0.183
路径3,158,0.31,0.195,0.188
路径3,184,0.212,0.085,0.184
路径3,211,0.197,0.109,0.181
路径3,237,0.175,0.092,0.095
路径3,263,0.057,0.059,0
路径3,289,0.145,0.063,0
路径3,316,0.081,0.017,0
路径3,342,0.07,0,0
路径3,368,0.074,0,0
路径3,394,0.082,0,0
路径3,421,0.088,0,0
路径3,447,0.136,0,0
路径3,473,0.108,0,0
路径3,500,0.071,0,0
路径4,1,0.5,0.5,0.5
路径4,27,0.511,0.512,0.598
路径4,53,0.557,0.498,0.541
路径4,79,0.662,0.53,0.474
路径4,106,0.628,0.469,0.385
路径4,132,0.585,0.331,0.242
路径4,158,0.617,0.242,0.133
路径4,184,0.578,0.112,0.059
路径4,211,0.605,0.135,0.026
路径4,237,0.673,0.15,0.03
路径4,263,0.551,0.243,0.019
路径4,289,0.402,0.209,0.001
路径4,316,0.442,0.13,0
路径4,342,0.409,0.076,0
路径4,368,0.422,0.116,0
路径4,394,0.522,0.081,0
路径4,421,0.582,0.123,0
路径4,447,0.565,0.102,0
路径4,473,0.616,0.187,0
路径4,500,0.681,0.07,0
路径5,1,0.5,0.5,0.5
路径5,27,0.528,0.552,0.367
路径5,53,0.555,0.54,0.26
路径5,79,0.482,0.518,0.264
路径5,106,0.365,0.482,0.346
路径5,132,0.3,0.358,0.384
路径5,158,0.393,0.215,0.315
路径5,184,0.363,0.089,0.312
路径5,211,0.195,0.071,0.353
路径5,237,0.363,0.076,0.319
路径5,263,0.476,0.048,0.254
路径5,289,0.445,0.041,0.148
路径5,316,0.539,0.073,0.177
路径5,342,0.543,0.052,0.233
路径5,368,0.668,0.008,0.157
路径5,394,0.75,0.054,0.132
路径5,421,0.758,0.046,0.144
路径5,447,0.796,0.015,0.227
路径5,473,0.775,0,0.233
路径5,500,0.828,0,0.202
路径6,1,0.5,0.5,0.5
路径6,27,0.54,0.396,0.446
