路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.519,0.49,0.489
路径1,53,0.532,0.435,0.44
路径1,79,0.408,0.288,0.358
路径1,106,0.238,0.266,0.288
路径1,132,0.236,0.27,0.221
路径1,158,0.156,0.228,0.127
路径1,184,0.087,0.178,0.051
路径1,211,0.053,0.109,0.064
路径1,237,0.009,0.134,0.01
路径1,263,0,0.13,0
路径1,289,0,0.087,0
路径1,316,0,0.03,0
路径1,342,0,0.042,0
路径1,368,0,0.056,0
路径1,394,0,0.11,0
路径1,421,0,0.081,0
路径1,447,0,0.073,0
路径1,473,0,0.095,0
路径1,500,0,0.088,0
路径2,1,0.5,0.5,0.5
路径2,27,0.473,0.548,0.402
路径2,53,0.334,0.473,0.361
路径2,79,0.338,0.431,0.319
路径2,106,0.299,0.334,0.232
路径2,132,0.29,0.155,0.122
路径2,158,0.218,0.16,0.128
路径2,184,0.255,0.045,0.103
路径2,211,0.327,0.009,0.125
路径2,237,0.272,0,0.204
路径2,263,0.2,0,0.256
路径2,289,0.089,0,0.158
路径2,316,0.096,0,0.18
路径2,342,0.101,0,0.12
路径2,368,0.116,0,0.168
路径2,394,0.124,0,0.232
路径2,421,0.131,0,0.096
路径2,447,0.274,0,0.114
路径2,473,0.279,0,0.093
路径2,500,0.29,0,0.128
路径3,1,0.5,0.5,0.5
路径3,27,0.305,0.448,0.571
路径3,53,0.198,0.404,0.406
路径3,79,0.245,0.341,0.248
路径3,106,0.235,0.279,0.171
路径3,132,0.149,0.166,0.112
路径3,158,0.102,0.158,0.13
路径3,184,0.114,0.122,0.137
路径3,211,0.085,0.092,0.115
路径3,237,0.053,0.055,0.115
路径3,263,0,0.118,0.113
路径3,289,0,0.101,0.105
路径3,316,0,0.069,0.086
路径3,342,0,0.015,0.106
路径3,368,0,0,0.062
路径3,394,0,0,0.063
路径3,421,0,0,0.084
路径3,447,0,0,0.077
路径3,473,0,0,0.123
路径3,500,0,0,0.144
路径4,1,0.5,0.5,0.5
路径4,27,0.419,0.462,0.455
路径4,53,0.245,0.366,0.391
路径4,79,0.32,0.331,0.26
路径4,106,0.257,0.229,0.247
路径4,132,0.172,0.17,0.119
路径4,158,0.215,0.106,0.112
路径4,184,0.293,0.062,0.07
路径4,211,0.326,0.017,0.053
路径4,237,0.225,0.062,0.022
路径4,263,0.149,0.053,0.01
路径4,289,0.135,0.011,0
路径4,316,0.118,0,0
路径4,342,0.098,0,0
路径4,368,0.035,0,0
路径4,394,0.013,0,0
路径4,421,0.047,0,0
路径4,447,0.021,0,0
路径4,473,0,0,0
路径4,500,0,0,0
路径5,1,0.5,0.5,0.5
路径5,27,0.475,0.324,0.469
路径5,53,0.462,0.173,0.39
路径5,79,0.345,0.167,0.249
路径5,106,0.291,0.132,0.208
路径5,132,0.226,0.096,0.258
路径5,158,0.193,0.192,0.236
路径5,184,0.239,0.231,0.242
路径5,211,0.196,0.238,0.216
路径5,237,0.182,0.212,0.199
路径5,263,0.127,0.173,0.229
路径5,289,0.054,0.311,0.192
路径5,316,0.044,0.227,0.116
路径5,342,0.05,0.117,0.119
路径5,368,0.033,0.045,0.129
路径5,394,0.097,0.026,0.133
路径5,421,0.143,0,0.079
路径5,447,0.15,0,0.128
路径5,473,0.224,0,0.136
路径5,500,0.319,0,0.264
路径6,1,0.5,0.5,0.5
路径6,27,0.457,0.467,0.386
路径6,53,0.3,0.431,0.339
路径6,79,0.138,0.332,0.297
路径6,106,0.139,0.362,0.227
路径6,132,0.087,0.168,0.195
路径6,158,0.071,0.109,0.102
路径6,184,0.09,0.117,0.138
路径6,211,0.048,0.02,0.12
路径6,237,0.044,0.047,0.036
路径6,263,0.033,0.06,0.042
路径6,289,0.049,0.11,0.041
路径6,316,0.134,0.136,0.061
路径6,342,0.114,0.101,0.013
路径6,368,0.072,0.082,0.007
路径6,394,0.047,0.109,0
路径6,421,0.109,0.11,0
路径6,447,0.077,0.142,0
路径6,473,0.021,0.079,0
路径6,500,0.055,0.073,0
路径7,1,0.5,0.5,0.5
路径7,27,0.267,0.554,0.36
路径7,53,0.283,0.521,0.282
路径7,79,0.195,0.406,0.174
路径7,106,0.211,0.268,0.131
路径7,132,0.091,0.258,0.044
