路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.491,0.548,0.379
路径1,53,0.557,0.534,0.393
路径1,79,0.503,0.556,0.311
路径1,106,0.45,0.633,0.354
路径1,132,0.459,0.624,0.272
路径1,158,0.464,0.545,0.17
路径1,184,0.368,0.514,0.092
路径1,211,0.29,0.385,0.155
路径1,237,0.293,0.263,0.098
路径1,263,0.292,0.139,0.129
路径1,289,0.249,0.194,0.14
路径1,316,0.203,0.157,0.137
路径1,342,0.297,0.109,0.052
路径1,368,0.24,0.031,0.079
路径1,394,0.159,0.04,0.028
路径1,421,0.174,0.043,0.018
路径1,447,0.067,0.027,0.033
路径1,473,0.056,0.01,0.013
路径1,500,0.182,0,0.004
路径2,1,0.5,0.5,0.5
路径2,27,0.535,0.484,0.547
路径2,53,0.587,0.518,0.503
路径2,79,0.596,0.538,0.475
路径2,106,0.756,0.484,0.305
路径2,132,0.643,0.495,0.268
路径2,158,0.668,0.375,0.201
路径2,184,0.486,0.286,0.191
路径2,211,0.36,0.109,0.159
路径2,237,0.397,0.175,0.117
路径2,263,0.492,0.091,0.168
路径2,289,0.493,0.167,0.141
路径2,316,0.298,0.092,0.132
路径2,342,0.409,0.054,0.053
路径2,368,0.445,0.041,0.086
路径2,394,0.352,0.043,0.024
路径2,421,0.356,0.031,0.028
路径2,447,0.289,0.031,0.029
路径2,473,0.371,0,0.043
路径2,500,0.386,0,0.048
路径3,1,0.5,0.5,0.5
路径3,27,0.464,0.302,0.357
路径3,53,0.349,0.138,0.368
路径3,79,0.308,0.13,0.46
路径3,106,0.218,0.084,0.448
路径3,132,0.286,0.031,0.392
路径3,158,0.253,0,0.456
路径3,184,0.25,0,0.309
路径3,211,0.222,0,0.205
路径3,237,0.163,0,0.043
路径3,263,0.278,0,0.012
路径3,289,0.203,0,0
路径3,316,0.183,0,0
路径3,342,0.3,0,0
路径3,368,0.285,0,0
路径3,394,0.239,0,0
路径3,421,0.212,0,0
路径3,447,0.192,0,0
路径3,473,0.297,0,0
路径3,500,0.233,0,0
路径4,1,0.5,0.5,0.5
路径4,27,0.44,0.448,0.41
路径4,53,0.376,0.267,0.352
路径4,79,0.338,0.129,0.414
路径4,106,0.341,0.15,0.351
路径4,132,0.394,0.124,0.322
路径4,158,0.199,0.075,0.19
路径4,184,0.174,0.031,0.169
路径4,211,0.148,0.005,0.18
路径4,237,0.181,0.007,0.133
路径4,263,0.245,0,0.112
路径4,289,0.386,0,0.079
路径4,316,0.553,0,0.05
路径4,342,0.574,0,0.027
路径4,368,0.676,0,0.011
路径4,394,0.672,0,0
路径4,421,0.628,0,0
路径4,447,0.611,0,0
路径4,473,0.614,0,0
路径4,500,0.584,0,0
路径5,1,0.5,0.5,0.5
路径5,27,0.636,0.416,0.478
路径5,53,0.687,0.311,0.363
路径5,79,0.631,0.247,0.387
路径5,106,0.701,0.22,0.391
路径5,132,0.667,0.146,0.326
路径5,158,0.573,0.154,0.311
路径5,184,0.533,0.032,0.261
路径5,211,0.563,0.034,0.145
路径5,237,0.406,0.044,0.061
路径5,263,0.346,0.029,0.015
路径5,289,0.273,0.048,0.027
路径5,316,0.297,0.02,0.04
路径5,342,0.284,0.01,0.008
路径5,368,0.332,0.002,0
路径5,394,0.338,0,0
路径5,421,0.445,0,0
路径5,447,0.438,0,0
路径5,473,0.336,0,0
路径5,500,0.41,0,0
路径6,1,0.5,0.5,0.5
路径6,27,0.39,0.294,0.516
路径6,53,0.352,0.259,0.464
路径6,79,0.351,0.302,0.459
路径6,106,0.302,0.226,0.244
路径6,132,0.423,0.196,0.28
路径6,158,0.456,0.31,0.297
路径6,184,0.375,0.351,0.382
路径6,211,0.268,0.395,0.34
路径6,237,0.175,0.231,0.312
路径6,263,0.1,0.199,0.262
路径6,289,0.155,0.162,0.262
路径6,316,0.104,0.193,0.297
路径6,342,0.075,0.147,0.237
路径6,368,0.167,0.065,0.194
路径6,394,0.145,0.052,0.182
路径6,421,0.064,0.051,0.089
路径6,447,0.049,0.059,0.132
路径6,473,0.061,0.016,0.171
路径6,500,0.109,0.037,0.056
路径7,1,0.5,0.5,0.5
路径7,27,0.681,0.507,0.431
路径7,53,0.696,0.475,0.516
路径7,79,0.647,0.4,0.48
路径7,106,0.644,0.282,0.377
路径7,132,0.681,0.227,0.514
路径7,158,0.662,0.19,0.615
路径7,184,0.715,0.113,0.693
路径7,211,0.821,0.078,0.684
路径7,237,0.754,0.021,0.563
路径7,263,0.878,0.019,0.615
路径7,289,0.916,0.003,0.526
路径7,316,0.871,0,0.378
路径7,342,0.889,0,0.335
路径7,368,0.933,0,0.261
路径7,394,0.891,0,0.172
路径7,421,0.923,0,0.189
路径7,447,0.927,0,0.183
路径7,473,0.948,0,0.118
路径7,500,0.854,0,0.088
路径8,1,0.5,0.5,0.5
路径8,27,0.398,0.391,0.33
路径8,53,0.396,0.379,0.323
路径8,79,0.373,0.447,0.268
路径8,106,0.383,0.3,0.164
路径8,132,0.427,0.176,0.15
路径8,158,0.413,0.124,0.127
路径8,184,0.325,0.103,0.15
路径8,211,0.385,0.12,0.184
路径8,237,0.445,0.064,0.135
路径8,263,0.371,0.032,0.199
路径8,289,0.222,0.028,0.161
路径8,316,0.191,0.035,0.249
路径8,342,0.248,0.046,0.18
路径8,368,0.177,0.037,0.154
路径8,394,0.195,0,0.101
路径8,421,0.265,0,0.115
路径8,447,0.283,0,0.071
路径8,473,0.267,0,0.078
路径8,500,0.196,0,0.09
路径9,1,0.5,0.5,0.5
路径9,27,0.354,0.474,0.489
路径9,53,0.301,0.415,0.455
路径9,79,0.202,0.456,0.259
路径9,106,0.157,0.367,0.141
路径9,132,0.04,0.421,0.163
路径9,158,0.039,0.288,0.121
路径9,184,0.02,0.19,0.051
路径9,211,0,0.2,0.031
路径9,237,0,0.244,0.009
路径9,263,0,0.194,0
路径9,289,0,0.159,0
路径9,316,0,0.041,0
路径9,342,0,0.024,0
路径9,368,0,0.084,0
路径9,394,0,0.087,0
路径9,421,0,0.031,0
路径9,447,0,0.026,0
路径9,473,0,0.003,0
路径9,500,0,0,0
路径10,1,0.5,0.5,0.5
路径10,27,0.529,0.443,0.486
路径10,53,0.481,0.655,0.422
路径10,79,0.479,0.529,0.314
路径10,106,0.407,0.482,0.272
路径10,132,0.355,0.362,0.231
路径10,158,0.419,0.524,0.198
路径10,184,0.45,0.429,0.3
路径10,211,0.346,0.387,0.353
路径10,237,0.252,0.291,0.127
路径10,263,0.342,0.282,0.095
路径10,289,0.271,0.179,0.021
路径10,316,0.351,0.136,0
路径10,342,0.267,0.084,0
路径10,368,0.223,0.058,0
路径10,394,0.179,0.051,0
路径10,421,0.147,0.038,0
路径10,447,0.147,0.046,0
路径10,473,0.162,0.028,0
路径10,500,0.163,0.017,0
路径11,1,0.5,0.5,0.5
路径11,27,0.597,0.477,0.474
路径11,53,0.597,0.452,0.36
路径11,79,0.633,0.437,0.367
路径11,106,0.548,0.413,0.245
路径11,132,0.527,0.408,0.155
路径11,158,0.468,0.322,0.151
路径11,184,0.438,0.475,0.11
路径11,211,0.396,0.368,0.136
路径11,237,0.381,0.321,0.168
路径11,263,0.352,0.284,0.101
路径11,289,0.418,0.173,0.046
路径11,316,0.301,0.164,0.045
路径11,342,0.223,0.169,0.035
路径11,368,0.162,0.143,0.039
路径11,394,0.125,0.045,0.036
路径11,421,0.119,0,0.027
路径11,447,0.191,0,0.004
路径11,473,0.225,0,0.001
路径11,500,0.226,0,0
路径12,1,0.5,0.5,0.5
路径12,27,0.517,0.531,0.374
路径12,53,0.546,0.558,0.141
路径12,79,0.512,0.592,0.17
路径12,106,0.309,0.404,0.165
路径12,132,0.198,0.36,0.206
路径12,158,0.267,0.2,0.204
路径12,184,0.313,0.101,0.153
路径12,211,0.25,0.053,0.247
路径12,237,0.255,0.076,0.232
路径12,263,0.24,0.077,0.26
路径12,289,0.228,0.075,0.15
路径12,316,0.191,0.065,0.188
路径12,342,0.199,0.051,0.226
路径12,368,0.252,0.03,0.169
路径12,394,0.237,0.062,0.092
路径12,421,0.161,0.086,0.01
路径12,447,0.207,0.106,0.005
路径12,473,0.215,0.114,0
路径12,500,0.295,0.065,0
路径13,1,0.5,0.5,0.5
路径13,27,0.412,0.439,0.294
路径13,53,0.375,0.263,0.272
路径13,79,0.468,0.336,0.263
路径13,106,0.426,0.296,0.228
路径13,132,0.455,0.289,0.228
路径13,158,0.545,0.168,0.175
路径13,184,0.625,0.142,0.09
路径13,211,0.684,0.042,0.081
路径13,237,0.668,0.054,0.162
路径13,263,0.617,0.05,0.17
路径13,289,0.726,0.028,0.072
路径13,316,0.745,0.004,0.022
路径13,342,0.718,0,0.006
路径13,368,0.671,0,0.013
路径13,394,0.822,0,0
路径13,421,0.928,0,0
路径13,447,0.885,0,0
路径13,473,0.914,0,0
路径13,500,0.86,0,0
路径14,1,0.5,0.5,0.5
路径14,27,0.612,0.537,0.464
路径14,53,0.574,0.603,0.419
路径14,79,0.577,0.528,0.387
路径14,106,0.468,0.47,0.318
路径14,132,0.547,0.296,0.148
路径14,158,0.651,0.304,0.232
路径14,184,0.544,0.166,0.16
路径14,211,0.679,0.148,0.152
路径14,237,0.642,0.185,0.3
路径14,263,0.671,0.134,0.2
路径14,289,0.693,0.079,0.169
路径14,316,0.553,0.041,0.165
路径14,342,0.335,0.074,0.074
路径14,368,0.329,0.087,0.125
路径14,394,0.276,0.127,0.133
路径14,421,0.261,0.113,0.125
路径14,447,0.38,0.04,0.125
路径14,473,0.392,0.028,0.045
路径14,500,0.41,0.05,0.046
路径15,1,0.5,0.5,0.5
