路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.422,0.516,0.521
路径1,53,0.401,0.513,0.513
路径1,79,0.36,0.487,0.39
路径1,106,0.267,0.362,0.313
路径1,132,0.183,0.243,0.187
路径1,158,0.137,0.144,0.152
路径1,184,0.145,0.106,0.082
路径1,211,0.085,0.1,0.04
路径1,237,0.093,0.132,0.023
路径1,263,0.135,0.124,0.102
路径1,289,0.13,0.096,0.106
路径1,316,0.076,0.092,0.129
路径1,342,0.077,0.068,0.054
路径1,368,0.112,0.074,0.045
路径1,394,0.06,0.046,0.064
路径1,421,0.037,0.023,0.049
路径1,447,0.002,0,0.099
路径1,473,0,0,0.1
路径1,500,0,0,0.085
路径2,1,0.5,0.5,0.5
路径2,27,0.513,0.453,0.441
路径2,53,0.532,0.405,0.447
路径2,79,0.569,0.388,0.445
路径2,106,0.537,0.333,0.342
路径2,132,0.462,0.297,0.278
路径2,158,0.396,0.285,0.138
路径2,184,0.359,0.238,0.089
路径2,211,0.392,0.219,0.126
路径2,237,0.18,0.249,0.124
路径2,263,0.171,0.198,0.106
路径2,289,0.171,0.122,0.092
路径2,316,0.137,0.059,0.066
路径2,342,0.11,0.045,0.059
路径2,368,0.08,0.003,0.012
路径2,394,0.137,0,0.028
路径2,421,0.25,0,0.038
路径2,447,0.203,0,0
路径2,473,0.139,0,0
路径2,500,0.058,0,0
路径3,1,0.5,0.5,0.5
路径3,27,0.45,0.359,0.492
路径3,53,0.341,0.328,0.462
路径3,79,0.391,0.328,0.35
路径3,106,0.322,0.264,0.363
路径3,132,0.44,0.195,0.194
路径3,158,0.352,0.105,0.136
路径3,184,0.375,0.047,0.076
路径3,211,0.391,0.013,0.076
路径3,237,0.358,0,0.089
路径3,263,0.343,0,0.201
路径3,289,0.338,0,0.151
路径3,316,0.351,0,0.133
路径3,342,0.346,0,0.106
路径3,368,0.303,0,0.059
路径3,394,0.353,0,0.031
路径3,421,0.431,0,0.013
路径3,447,0.515,0,0
路径3,473,0.403,0,0
路径3,500,0.432,0,0
路径4,1,0.5,0.5,0.5
路径4,27,0.395,0.505,0.354
路径4,53,0.326,0.491,0.341
路径4,79,0.311,0.345,0.309
路径4,106,0.37,0.2,0.234
路径4,132,0.337,0.129,0.099
路径4,158,0.314,0.092,0.219
路径4,184,0.31,0.034,0.171
路径4,211,0.271,0.008,0.02
路径4,237,0.339,0,0
路径4,263,0.315,0,0
路径4,289,0.256,0,0
路径4,316,0.256,0,0
路径4,342,0.29,0,0
路径4,368,0.331,0,0
路径4,394,0.357,0,0
路径4,421,0.508,0,0
路径4,447,0.473,0,0
路径4,473,0.487,0,0
路径4,500,0.547,0,0
路径5,1,0.5,0.5,0.5
路径5,27,0.437,0.505,0.496
路径5,53,0.356,0.331,0.41
路径5,79,0.23,0.218,0.364
路径5,106,0.207,0.265,0.285
路径5,132,0.252,0.233,0.173
路径5,158,0.376,0.147,0.114
路径5,184,0.311,0.125,0.156
路径5,211,0.35,0.07,0.132
路径5,237,0.27,0.071,0.19
路径5,263,0.33,0.007,0.207
路径5,289,0.454,0,0.143
路径5,316,0.435,0,0.13
路径5,342,0.395,0,0.092
路径5,368,0.337,0,0.044
路径5,394,0.325,0,0.07
路径5,421,0.263,0,0.094
路径5,447,0.174,0,0.094
路径5,473,0.24,0,0.122
路径5,500,0.284,0,0.128
路径6,1,0.5,0.5,0.5
路径6,27,0.443,0.467,0.399
路径6,53,0.526,0.388,0.365
路径6,79,0.683,0.266,0.262
路径6,106,0.728,0.218,0.121
路径6,132,0.604,0.207,0.085
路径6,158,0.556,0.13,0.033
路径6,184,0.348,0.118,0.078
路径6,211,0.388,0.114,0.084
路径6,237,0.203,0.128,0.031
路径6,263,0.328,0.12,0
路径6,289,0.425,0.036,0
路径6,316,0.454,0.011,0
路径6,342,0.431,0,0
路径6,368,0.503,0,0
路径6,394,0.518,0,0
路径6,421,0.466,0,0
路径6,447,0.35,0,0
路径6,473,0.314,0,0
路径6,500,0.227,0,0
路径7,1,0.5,0.5,0.5
路径7,27,0.318,0.353,0.447
路径7,53,0.305,0.251,0.37
路径7,79,0.286,0.163,0.353
路径7,106,0.286,0.182,0.45
路径7,132,0.301,0.124,0.267
路径7,158,0.267,0.015,0.155
路径7,184,0.27,0,0.168
路径7,211,0.263,0,0.092
路径7,237,0.266,0,0.083
路径7,263,0.188,0,0.045
路径7,289,0.139,0,0.073
路径7,316,0.091,0,0.105
路径7,342,0.17,0,0.024
路径7,368,0.18,0,0.014
路径7,394,0.118,0,0.006
